instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap.out,BAP,7,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),1,-1,0.0,0,"{""objective"": ""-1""}"
IN_001.json-bap.out,BAP,85,1.147151515151515,1.147151515151515,60,"{""objective"": ""1.147151515151515"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.147152"", ""patterns_generated_avg"": ""12.00"", ""optimal"": ""True""}"
IN_001.json-global.out,ILP Solver (global):predictor (Python),6,1.1471515151515155,1.147151515151515,60,"{""objective"": ""1.1471515151515155""}"
IN_002.json-bap.out,BAP,592,1.0279829059829062,1.0279829059829062,96,"{""objective"": ""1.0279829059829062"", ""number_of_nodes"": ""10"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.32"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.14"", ""master_relaxation"": ""0.982890"", ""patterns_generated_avg"": ""2.10"", ""optimal"": ""True""}"
IN_002.json-global.out,ILP Solver (global):predictor (Python),5,1.0279829059829049,1.0279829059829062,96,"{""objective"": ""1.0279829059829049""}"
IN_003.json-bap.out,BAP,119,0.748758389261745,0.748758389261745,131,"{""objective"": ""0.748758389261745"", ""number_of_nodes"": ""3"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.06"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""0.631906"", ""patterns_generated_avg"": ""2.67"", ""optimal"": ""True""}"
IN_003.json-global.out,ILP Solver (global):predictor (Python),24,0.6337516778523488,0.633751677852349,133,"{""objective"": ""0.6337516778523488""}"
IN_004.json-bap.out,BAP,117,1.0191465517241378,1.0191465517241378,71,"{""objective"": ""1.0191465517241378"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.08"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.019147"", ""patterns_generated_avg"": ""10.00"", ""optimal"": ""True""}"
IN_004.json-global.out,ILP Solver (global):predictor (Python),38,1.0191465517241374,1.0191465517241378,71,"{""objective"": ""1.0191465517241374""}"
IN_005.json-bap.out,BAP,448,2.003828125,2.003828125,59,"{""objective"": ""2.003828125"", ""number_of_nodes"": ""8"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.28"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""1.870289"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_005.json-global.out,ILP Solver (global):predictor (Python),3,2.003828124999999,2.003828125,59,"{""objective"": ""2.003828124999999""}"
IN_006.json-bap.out,BAP,195,1.3155172413793104,1.3155172413793104,84,"{""objective"": ""1.3155172413793104"", ""number_of_nodes"": ""3"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.11"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.03"", ""master_relaxation"": ""1.256208"", ""patterns_generated_avg"": ""4.00"", ""optimal"": ""True""}"
IN_006.json-global.out,ILP Solver (global):predictor (Python),2,1.31551724137931,1.3155172413793104,84,"{""objective"": ""1.31551724137931""}"
IN_007.json-bap.out,BAP,7,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_007.json-global.out,ILP Solver (global):predictor (Python),1,-1,0.0,0,"{""objective"": ""-1""}"
